term	gene
DNA_METABOLIC_PROCESS	RAN
DNA_METABOLIC_PROCESS	LIG1
DNA_METABOLIC_PROCESS	POLE
DNA_METABOLIC_PROCESS	LIG3
DNA_METABOLIC_PROCESS	RAD9A
DNA_METABOLIC_PROCESS	POLB
DNA_METABOLIC_PROCESS	LIG4
DNA_METABOLIC_PROCESS	PPARGC1A
DNA_METABOLIC_PROCESS	KAT5
DNA_METABOLIC_PROCESS	ORC1
DNA_METABOLIC_PROCESS	RAD1
DNA_METABOLIC_PROCESS	PNKP
DNA_METABOLIC_PROCESS	RFC3
DNA_METABOLIC_PROCESS	REC8
DNA_METABOLIC_PROCESS	RFC4
DNA_METABOLIC_PROCESS	RFC1
DNA_METABOLIC_PROCESS	CD40LG
DNA_METABOLIC_PROCESS	TBRG1
DNA_METABOLIC_PROCESS	SMARCAL1
DNA_METABOLIC_PROCESS	RAD23B
DNA_METABOLIC_PROCESS	ENPP7
DNA_METABOLIC_PROCESS	RAD23A
DNA_METABOLIC_PROCESS	MRE11A
DNA_METABOLIC_PROCESS	HUS1
DNA_METABOLIC_PROCESS	CHEK1
DNA_METABOLIC_PROCESS	PPT1
DNA_METABOLIC_PROCESS	XAB2
DNA_METABOLIC_PROCESS	ACD
